symbol,qty,avg_price,last_price,pnl,pnl_pct,day_pct,recommendation
ABSLAMC,12,878.4125,831.95,-557.5499999999997,-5.29,2.659180651530117,HOLD
ADVENZYMES,3,425.85,276.35,-448.5,-35.11,-2.0729978738483226,HOLD
ASIANPAINT,1,3152.95,2756.9,-396.0499999999997,-12.56,-2.0761184222210316,HOLD
ASTRAL,4,1658.975,1464.3,-778.6999999999998,-11.73,0.11623136879529916,HOLD
ATHERENERG,10,641.45,618.75,-227.00000000000045,-3.54,-4.307145066501705,HOLD
BAJAJ-AUTO,1,9465.05,9489,23.950000000000728,0.25,-0.9447257163735059,HOLD
BANDHANBNK,50,199.5,144.85,-2732.5000000000005,-27.39,-0.37826685006878363,HOLD
BHEL,0,269.1,265.55,-177.50000000000057,-1.32,-0.784606762563036,HOLD
BSOFT,11,630.718181,433.1,-2173.7999909999994,-31.33,3.217349857006673,BUY (dip recovery)
CGPOWER,2,767.925,561.85,-412.14999999999986,-26.84,-2.6172111968108194,HOLD
CROMPTON,21,462.369047,251.2,-4434.549987,-45.67,-1.3741656851197488,HOLD
DEN,30,57.24,30.16,-812.4000000000001,-47.31,-0.29752066115702436,HOLD
DIXON,1,12054,10732,-1322,-10.97,-3.3414392506529764,HOLD
EBBETF0430,1,1300.79,1559.1,258.30999999999995,19.86,-0.08651350571951273,HOLD
ENDURANCE,1,2713.9,2526,-187.9000000000001,-6.92,0.22218695445167075,HOLD
GENSOL-BZ,20,1003.05,22.29,-19615.2,-97.78,-4.702864471996586,SELL (cut big loss)
GODREJCP,7,1352.435714,1237.5,-804.5499979999997,-8.5,0.8352006518639234,HOLD
GOKEX,1,802.75,604.75,-198,-24.67,0.9683612989398037,BUY (dip recovery)
GOLDBEES,1,0,118.15,118.15,0,0.118634014066605,HOLD
GRANULES,20,607.45,581.6,-517.0000000000005,-4.26,-2.969636302969629,HOLD
GSPL,6,342.6,304.95,-225.9000000000002,-10.99,-0.1963672066764925,HOLD
HATSUN,22,1098.63409,920.9,-3910.149980000001,-16.18,0.7659481343691871,HOLD
IGL,22,199.935909,180.91,-418.5699980000003,-9.52,-0.2591244900209499,HOLD
INDIGOPNTS,8,1436.7,1236.4,-1602.3999999999996,-13.94,3.024747937671876,HOLD
INFY,10,1664.65,1689.8,251.49999999999864,1.51,5.625703212901613,HOLD
IRFC,120,145.644833,122.2,-2813.37996,-16.1,0.12290045063499033,HOLD
ITCHOTELS,1,540.4,187,-353.4,-65.4,-2.604166666666667,SELL (cut big loss)
JBCHEPHARM,5,1920.78,1904,-83.89999999999986,-0.87,0.4537300833597081,HOLD
JYOTHYLAB,20,413.9675,254.65,-3186.3499999999995,-38.49,-0.7792713812585123,HOLD
KFINTECH,18,1539.811111,1070.25,-8452.099998,-30.49,0.1872220922068804,BUY (dip recovery)
KPIL,2,1226.45,1144.5,-163.9000000000001,-6.68,0.6463527239150427,HOLD
KPITTECH,4,1391.3,1187.2,-816.3999999999996,-14.67,0.6613532304561602,HOLD
KSB,11,895.85,745,-1659.3500000000004,-16.84,2.257909546359213,HOLD
MAHABANK,1,57,66.57,9.569999999999993,16.79,1.0166919575113618,HOLD
MAHSEAMLES,4,680.1,518.65,-645.8000000000002,-23.74,-1.8637653736991528,HOLD
MARICO,1,646.2,760.15,113.94999999999993,17.63,1.3803680981595123,HOLD
MEIL,10,426.025,337.1,-889.2499999999995,-20.87,-2.950914063624586,HOLD
MICEL,30,85.68,38.51,-1415.1000000000004,-55.05,-0.33643892339545173,SELL (cut big loss)
MOTHERSON,45,132.209111,114.79,-783.859995,-13.18,1.092029942756503,HOLD
MRPL,40,170.115,151.55,-742.5999999999999,-10.91,-4.354686020826745,HOLD
NEOGEN,3,1323.066666,1319.4,-10.99999799999955,-0.28,0.2659776578767383,HOLD
NIFTYBEES,16,281.6875,290.9,147.39999999999964,3.27,0.08257070116285427,HOLD
NTPC,1,370.15,346.25,-23.899999999999977,-6.46,-0.8305885722468789,HOLD
OIL,24,424.935416,448.65,569.150016,5.58,-2.094926350245504,HOLD
OLAELEC,1000,60.29,37.25,-23040,-38.22,-3.597308488612838,HOLD
ONGC,20,262.09,247.17,-298.39999999999975,-5.69,-0.42702332514200636,HOLD
PATANJALI,41,614.982926,521.55,-3830.7499660000026,-15.19,-4.109211252068399,HOLD
PGEL,45,651.917777,585.75,-2977.549965,-10.15,-0.2639196322152145,HOLD
POWERGRID,1,337.65,257.3,-80.34999999999997,-23.8,-0.4064253919102037,HOLD
PRINCEPIPE,2,486.15,242.7,-486.9,-50.08,-1.6214025131738956,SELL (cut big loss)
RATNAMANI,1,3785,2089.75,-1695.25,-44.79,-3.8598670439123177,HOLD
RISHABH,10,373,360.8,-121.99999999999989,-3.27,1.2629806342969407,HOLD
RRKABEL,11,1542.545454,1475.5,-737.4999940000007,-4.35,-1.6398906739550638,HOLD
RVNL,31,420.406451,335.3,-2638.2999809999997,-20.24,-0.9014334269247853,HOLD
SGBSEP31II,1,8197,17501.71,9304.71,113.51,1.6106914193220288,SELL (take profit)
SILVERBEES,300,262.972378,269.4,2378.2201399999944,2.44,2.5075149347437216,HOLD
SJVN,42,119.537619,76.47,-1808.8399980000004,-36.03,-2.8458899758607483,HOLD
SONACOMS,14,642.1,457.1,-2590,-28.81,-0.9963179553822756,HOLD
SONATSOFTW,14,636.314285,339.05,-4161.69999,-46.72,-2.079422382671477,HOLD
SUNDRMFAST,7,1373.8,933.15,-3084.5499999999997,-32.08,-0.4002561639449248,HOLD
SUZLON,0,49.23,48.5,-145.99999999999937,-1.48,-1.0406039583758377,HOLD
TANLA,40,487.6975,462.75,-997.8999999999996,-5.12,-4.271824575920558,HOLD
TITAGARH,9,1068.733333,805.75,-2366.8499969999993,-24.61,-1.485511676244037,HOLD
